[00:21:00] ======================================================================
[00:21:00] FIX SYSCOM SUPPLIERINFO (dry=False, limit=None, resume=False)
[00:21:00] ======================================================================
[00:21:01] Conectado a Odoo UID=2
[00:21:01] Token Syscom OK
[00:21:01] Buscando productos sin supplierinfo Syscom...
[00:21:20]   59897 productos con default_code
[00:21:20] Cargando supplierinfo Syscom existentes...
[00:21:21]   4284 productos YA tienen Syscom
[00:21:21]   → 55629 productos SIN supplierinfo Syscom (a procesar)
[00:21:21] TC USD/MXN: 17.5021
[00:21:21] Procesando 55629 productos (rate 55/min)
[00:22:02]   50/55629 | match=50 not_found=0 err=0
[00:22:58]   100/55629 | match=93 not_found=7 err=0
[00:23:55]   150/55629 | match=130 not_found=20 err=0
[00:24:51]   200/55629 | match=167 not_found=33 err=0
[00:25:49]   250/55629 | match=212 not_found=38 err=0
[00:26:45]   300/55629 | match=262 not_found=38 err=0
[00:27:41]   350/55629 | match=311 not_found=39 err=0
[00:28:37]   400/55629 | match=359 not_found=41 err=0
[00:29:33]   450/55629 | match=408 not_found=42 err=0
[00:30:33]   500/55629 | match=458 not_found=42 err=0
[00:31:58]   550/55629 | match=508 not_found=42 err=0
[00:33:00]   600/55629 | match=556 not_found=44 err=0
[00:33:58]   650/55629 | match=606 not_found=44 err=0
[00:34:56]   700/55629 | match=655 not_found=45 err=0
[00:36:07]   750/55629 | match=699 not_found=51 err=0
[00:37:03]   800/55629 | match=706 not_found=94 err=0
[00:38:00]   850/55629 | match=718 not_found=132 err=0
[00:38:56]   900/55629 | match=744 not_found=156 err=0
[00:39:52]   950/55629 | match=758 not_found=192 err=0
[00:40:50]   1000/55629 | match=759 not_found=241 err=0
[00:41:45]   1050/55629 | match=779 not_found=271 err=0
[00:42:40]   1100/55629 | match=802 not_found=298 err=0
[00:43:36]   1150/55629 | match=811 not_found=339 err=0
[00:44:32]   1200/55629 | match=812 not_found=388 err=0
[00:45:42]   1250/55629 | match=812 not_found=438 err=0
[00:46:37]   1300/55629 | match=821 not_found=479 err=0
[00:47:45]   1350/55629 | match=822 not_found=528 err=0
[00:48:42]   1400/55629 | match=822 not_found=578 err=0
[00:49:39]   1450/55629 | match=824 not_found=626 err=0
[00:50:36]   1500/55629 | match=827 not_found=673 err=0
[00:51:33]   1550/55629 | match=827 not_found=723 err=0
[00:52:29]   1600/55629 | match=827 not_found=773 err=0
[00:53:25]   1650/55629 | match=828 not_found=822 err=0
[00:54:25]   1700/55629 | match=828 not_found=872 err=0
[00:55:56]   1750/55629 | match=828 not_found=922 err=0
[00:56:44]   1800/55629 | match=849 not_found=951 err=0
[00:57:37]   1850/55629 | match=868 not_found=982 err=0
[00:58:34]   1900/55629 | match=882 not_found=1018 err=0
[00:59:32]   1950/55629 | match=882 not_found=1068 err=0
[01:02:23]   2000/55629 | match=882 not_found=1118 err=0
[01:04:18]   2050/55629 | match=885 not_found=1165 err=0
[01:05:14]   2100/55629 | match=891 not_found=1209 err=0
[01:06:11]   2150/55629 | match=891 not_found=1259 err=0
[01:06:56]   2200/55629 | match=895 not_found=1305 err=0
[01:07:50]   2250/55629 | match=899 not_found=1351 err=0
[01:09:03]   2300/55629 | match=899 not_found=1401 err=0
[01:09:54]   2350/55629 | match=906 not_found=1444 err=0
[01:10:45]   2400/55629 | match=910 not_found=1490 err=0
[01:11:41]   2450/55629 | match=943 not_found=1507 err=0
[01:12:37]   2500/55629 | match=992 not_found=1508 err=0
[01:13:34]   2550/55629 | match=1038 not_found=1512 err=0
[01:14:29]   2600/55629 | match=1077 not_found=1523 err=0
[01:15:35]   2650/55629 | match=1126 not_found=1524 err=0
[01:16:29]   2700/55629 | match=1171 not_found=1529 err=0
[01:17:24]   2750/55629 | match=1204 not_found=1546 err=0
[01:18:17]   2800/55629 | match=1249 not_found=1551 err=0
[01:19:13]   2850/55629 | match=1295 not_found=1555 err=0
[01:20:07]   2900/55629 | match=1338 not_found=1562 err=0
[01:21:03]   2950/55629 | match=1375 not_found=1575 err=0
[01:22:00]   3000/55629 | match=1418 not_found=1582 err=0
[01:22:55]   3050/55629 | match=1461 not_found=1589 err=0
[01:23:50]   3100/55629 | match=1492 not_found=1608 err=0
[01:24:45]   3150/55629 | match=1532 not_found=1618 err=0
[01:25:39]   3200/55629 | match=1562 not_found=1638 err=0
[01:26:34]   3250/55629 | match=1611 not_found=1639 err=0
[01:27:30]   3300/55629 | match=1654 not_found=1646 err=0
[01:28:22]   3350/55629 | match=1704 not_found=1646 err=0
[01:29:18]   3400/55629 | match=1753 not_found=1647 err=0
[01:30:23]   3450/55629 | match=1791 not_found=1659 err=0
[01:31:27]   3500/55629 | match=1841 not_found=1659 err=0
[01:32:23]   3550/55629 | match=1860 not_found=1690 err=0
[01:33:19]   3600/55629 | match=1889 not_found=1711 err=0
[01:34:29]   3650/55629 | match=1921 not_found=1729 err=0
[01:35:26]   3700/55629 | match=1968 not_found=1732 err=0
[01:36:15]   3750/55629 | match=1986 not_found=1764 err=0
[01:37:07]   3800/55629 | match=2031 not_found=1769 err=0
[01:38:05]   3850/55629 | match=2079 not_found=1771 err=0
[01:39:02]   3900/55629 | match=2129 not_found=1771 err=0
[01:39:58]   3950/55629 | match=2177 not_found=1773 err=0
[01:40:54]   4000/55629 | match=2223 not_found=1777 err=0
[01:41:50]   4050/55629 | match=2271 not_found=1779 err=0
[01:42:47]   4100/55629 | match=2318 not_found=1782 err=0
[01:43:43]   4150/55629 | match=2366 not_found=1784 err=0
[01:44:39]   4200/55629 | match=2409 not_found=1791 err=0
[01:45:51]   4250/55629 | match=2457 not_found=1793 err=0
[01:46:45]   4300/55629 | match=2503 not_found=1797 err=0
[01:47:44]   4350/55629 | match=2544 not_found=1806 err=0
[01:48:41]   4400/55629 | match=2583 not_found=1817 err=0
[01:49:38]   4450/55629 | match=2613 not_found=1837 err=0
[01:50:35]   4500/55629 | match=2662 not_found=1838 err=0
[01:51:32]   4550/55629 | match=2695 not_found=1855 err=0
[01:52:28]   4600/55629 | match=2735 not_found=1865 err=0
[01:53:09]   4650/55629 | match=2742 not_found=1908 err=0
[01:54:04]   4700/55629 | match=2777 not_found=1923 err=0
